model_name,node_type,mape_at_15min,mae_at_15min,rmse_at_15min,mape_at_30min,mae_at_30min,rmse_at_30min,mape_at_60min,mae_at_60min,rmse_at_60min,mape_at_5min,mae_at_5min,rmse_at_5min,mape_at_10min,mae_at_10min,rmse_at_10min,mape_at_15min,mae_at_15min,rmse_at_15min,mape_at_20min,mae_at_20min,rmse_at_20min,mape_at_25min,mae_at_25min,rmse_at_25min,mape_at_30min,mae_at_30min,rmse_at_30min,mape_at_35min,mae_at_35min,rmse_at_35min,mape_at_40min,mae_at_40min,rmse_at_40min,mape_at_45min,mae_at_45min,rmse_at_45min,mape_at_50min,mae_at_50min,rmse_at_50min,mape_at_55min,mae_at_55min,rmse_at_55min,mape_at_60min,mae_at_60min,rmse_at_60min
MoGERNN-METRLA,AAS,8.07,3.04,5.31,10.45,3.61,6.45,12.74,4.24,7.66,6.0,2.53,4.0,7.04,2.8,4.75,8.07,3.04,5.31,9.06,3.25,5.77,9.84,3.42,6.13,10.45,3.61,6.45,10.97,3.74,6.72,11.65,3.87,7.03,12.18,4.0,7.26,12.31,4.1,7.4,12.52,4.2,7.55,12.74,4.24,7.66
MoGERNN-METRLA,VS,14.08,5.83,8.64,15.06,5.97,8.88,15.91,6.19,9.38,13.26,5.77,8.46,13.72,5.82,8.57,14.08,5.83,8.64,14.51,5.86,8.72,14.67,5.89,8.78,15.06,5.97,8.88,15.43,5.97,8.96,16.06,6.04,9.08,15.93,6.09,9.18,15.99,6.14,9.24,15.78,6.16,9.31,15.91,6.19,9.38
